INFO: 2023-09-18 12:02:51,550 | middleware.py| func: __call__| line number: 81| Invalid URL.
INFO: 2023-09-18 16:24:49,525 | middleware.py| func: __call__| line number: 94| Unsupported Media Type. Expected application/json but got text/plain
INFO: 2023-09-18 16:25:30,580 | middleware.py| func: __call__| line number: 94| Unsupported Media Type. Expected application/json but got text/plain
INFO: 2023-09-18 16:25:43,303 | middleware.py| func: __call__| line number: 94| Unsupported Media Type. Expected application/json but got text/plain
INFO: 2023-09-18 16:25:57,633 | middleware.py| func: __call__| line number: 94| Unsupported Media Type. Expected application/json but got text/plain
INFO: 2023-09-18 16:26:19,391 | middleware.py| func: __call__| line number: 94| Unsupported Media Type. Expected application/json but got text/plain
INFO: 2023-09-18 16:26:33,648 | middleware.py| func: __call__| line number: 94| Unsupported Media Type. Expected application/json but got text/plain
INFO: 2023-09-18 16:28:01,552 | middleware.py| func: __call__| line number: 95| Unsupported Media Type. Expected application/json but got text/plain
INFO: 2023-09-18 16:28:43,888 | middleware.py| func: __call__| line number: 95| Unsupported Media Type. Expected application/json but got text/plain
INFO: 2023-09-18 16:29:53,032 | middleware.py| func: __call__| line number: 95| Unsupported Media Type. Expected application/json but got text/plain
INFO: 2023-09-18 16:53:38,136 | middleware.py| func: __call__| line number: 81| Invalid URL.
